Table of dimensions of level N homology over Q(sqrt(-2))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
2	2	1.1	 1	0   0		0   0
2	2	2.1	 2	1   0		1   0
2	2	3.1	 3	1   0		1   0
2	2	3.2	 3	1   0		1   0
2	2	4.1	 4	2   0		2   0
2	2	6.1	 6	3   0		3   0
2	2	6.2	 6	3   0		3   0
2	2	8.1	 8	3   0		3   0
2	2	9.1	 9	3   0		2   0
2	2	9.2	 9	3   0		3   0
2	2	9.3	 9	3   0		2   0
2	2	11.1	 11	1   0		1   0
2	2	11.2	 11	1   0		1   0
2	2	12.1	 12	5   0		5   0
2	2	12.2	 12	5   0		5   0
2	2	16.1	 16	5   0		5   0
2	2	17.1	 17	1   0		1   0
2	2	17.2	 17	1   0		1   0
2	2	18.1	 18	7   0		5   0
2	2	18.2	 18	7   0		7   0
2	2	18.3	 18	7   0		5   0
2	2	19.1	 19	1   0		1   0
2	2	19.2	 19	1   0		1   0
2	2	22.1	 22	3   0		3   0
2	2	22.2	 22	3   0		3   0
2	2	24.1	 24	7   0		7   0
2	2	24.2	 24	7   0		7   0
2	2	25.1	 25	1   0		1   0
2	2	27.1	 27	5   0		3   0
2	2	27.2	 27	7   0		5   0
2	2	27.3	 27	7   0		5   0
2	2	27.4	 27	5   0		3   0
2	2	32.1	 32	8   1		8   1
2	2	33.1	 33	3   0		3   0
2	2	33.2	 33	3   0		3   0
2	2	33.3	 33	3   0		3   0
2	2	33.4	 33	3   0		3   0
2	2	34.1	 34	3   0		3   0
2	2	34.2	 34	3   0		3   0
2	2	36.1	 36	11   0		8   0
2	2	36.2	 36	12   1		11   0
2	2	36.3	 36	11   0		8   0
2	2	38.1	 38	3   0		3   0
2	2	38.2	 38	3   0		3   0
2	2	41.1	 41	2   1		1   0
2	2	41.2	 41	2   1		1   0
2	2	43.1	 43	1   0		1   0
2	2	43.2	 43	1   0		1   0
2	2	44.1	 44	5   0		5   0
2	2	44.2	 44	5   0		5   0
2	2	48.1	 48	11   0		11   0
2	2	48.2	 48	11   0		11   0
2	2	49.1	 49	2   1		1   0
2	2	50.1	 50	3   0		3   0
2	2	51.1	 51	4   1		4   1
2	2	51.2	 51	3   0		3   0
2	2	51.3	 51	3   0		3   0
2	2	51.4	 51	4   1		4   1
2	2	54.1	 54	13   2		8   1
2	2	54.2	 54	15   0		11   0
2	2	54.3	 54	15   0		11   0
2	2	54.4	 54	13   2		8   1
2	2	57.1	 57	3   0		3   0
2	2	57.2	 57	3   0		3   0
2	2	57.3	 57	3   0		3   0
2	2	57.4	 57	3   0		3   0
2	2	59.1	 59	1   0		1   0
2	2	59.2	 59	1   0		1   0
2	2	64.1	 64	13   2		11   2
2	2	66.1	 66	8   1		7   0
2	2	66.2	 66	7   0		7   0
2	2	66.3	 66	7   0		7   0
2	2	66.4	 66	8   1		7   0
2	2	67.1	 67	1   0		1   0
2	2	67.2	 67	1   0		1   0
2	2	68.1	 68	5   0		5   0
2	2	68.2	 68	5   0		5   0
2	2	72.1	 72	15   0		11   0
2	2	72.2	 72	18   3		16   1
2	2	72.3	 72	15   0		11   0
2	2	73.1	 73	1   0		1   0
2	2	73.2	 73	1   0		1   0
2	2	75.1	 75	4   1		3   0
2	2	75.2	 75	4   1		3   0
2	2	76.1	 76	5   0		5   0
2	2	76.2	 76	5   0		5   0
2	2	81.1	 81	11   0		6   0
2	2	81.2	 81	11   0		7   0
2	2	81.3	 81	15   0		9   0
2	2	81.4	 81	11   0		7   0
2	2	81.5	 81	11   0		6   0
2	2	82.1	 82	5   2		3   0
2	2	82.2	 82	5   2		3   0
2	2	83.1	 83	1   0		1   0
2	2	83.2	 83	1   0		1   0
2	2	86.1	 86	3   0		3   0
2	2	86.2	 86	3   0		3   0
2	2	88.1	 88	7   0		7   0
2	2	88.2	 88	7   0		7   0
2	2	89.1	 89	1   0		1   0
2	2	89.2	 89	1   0		1   0
2	2	96.1	 96	17   2		17   2
2	2	96.2	 96	17   2		17   2
2	2	97.1	 97	1   0		1   0
2	2	97.2	 97	1   0		1   0
2	2	98.1	 98	6   3		4   1
2	2	99.1	 99	7   0		5   0
2	2	99.2	 99	7   0		5   0
2	2	99.3	 99	8   1		8   1
2	2	99.4	 99	8   1		8   1
2	2	99.5	 99	7   0		5   0
2	2	99.6	 99	7   0		5   0
2	2	100.1	 100	8   3		6   1
