# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-79))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.79.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	2.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.79.1	2.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.79.1	4.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.79.1	4.2	4	4	4 [ 4 ]	4 [ 4 ]	0 [ 0 ]
2.0.79.1	4.3	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.79.1	5.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	5.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	8.1	3	3	3 [ 3 ]	3 [ 3 ]	0 [ 0 ]
2.0.79.1	8.2	7	7	7 [ 7 ]	7 [ 7 ]	0 [ 0 ]
2.0.79.1	8.3	7	7	7 [ 7 ]	7 [ 7 ]	0 [ 0 ]
2.0.79.1	8.4	3	3	3 [ 3 ]	3 [ 3 ]	0 [ 0 ]
2.0.79.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	10.1	3	3	3 [ 3 ]	2 [ 2 ]	1 [ 1 ]
2.0.79.1	10.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.79.1	10.3	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.79.1	10.4	3	3	3 [ 3 ]	2 [ 2 ]	1 [ 1 ]
2.0.79.1	11.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	11.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	13.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	13.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	16.1	5	5	5 [ 5 ]	4 [ 4 ]	1 [ 1 ]
2.0.79.1	16.2	10	10	10 [ 10 ]	10 [ 10 ]	0 [ 0 ]
2.0.79.1	16.3	12	12	12 [ 12 ]	12 [ 12 ]	0 [ 0 ]
2.0.79.1	16.4	10	10	10 [ 10 ]	10 [ 10 ]	0 [ 0 ]
2.0.79.1	16.5	5	5	5 [ 5 ]	4 [ 4 ]	1 [ 1 ]
2.0.79.1	18.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.79.1	18.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.79.1	19.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	19.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.79.1	20.1	6	6	6 [ 6 ]	6 [ 6 ]	0 [ 0 ]
2.0.79.1	20.2	5	5	5 [ 5 ]	4 [ 4 ]	1 [ 1 ]
2.0.79.1	20.3	11	11	11 [ 11 ]	10 [ 10 ]	1 [ 1 ]
2.0.79.1	20.4	11	11	11 [ 11 ]	10 [ 10 ]	1 [ 1 ]
