# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-17))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 -4 ]
			all	triv	all		old		new
2.0.68.1	1.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	2.1	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.68.1	3.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	3.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	4.1	3	3	6 [ 6 0 ]	4 [ 4 0 ]	2 [ 2 0 ]
2.0.68.1	6.1	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.68.1	6.2	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.68.1	7.1	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.68.1	7.2	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.68.1	8.1	7	7	14 [ 14 0 ]	10 [ 10 0 ]	4 [ 4 0 ]
2.0.68.1	9.1	1	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	9.2	2	2	4 [ 4 0 ]	0 [ 0 0 ]	4 [ 4 0 ]
2.0.68.1	9.3	1	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	11.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	11.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	12.1	7	6	12 [ 12 0 ]	12 [ 12 0 ]	0 [ 0 0 ]
2.0.68.1	12.2	7	6	12 [ 12 0 ]	12 [ 12 0 ]	0 [ 0 0 ]
2.0.68.1	13.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	13.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.68.1	14.1	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.68.1	14.2	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.68.1	16.1	15	11	22 [ 22 0 ]	22 [ 22 0 ]	0 [ 0 0 ]
2.0.68.1	17.1	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.68.1	18.1	5	3	6 [ 6 0 ]	6 [ 6 0 ]	0 [ 0 0 ]
