# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-39))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 -3 ]
			all	triv	all		old		new
2.0.39.1	1.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	2.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	2.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	3.1	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.39.1	4.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	4.2	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.39.1	4.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	5.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	5.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	6.1	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	6.2	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	8.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	8.2	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	8.3	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	8.4	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	9.1	3	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	10.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	10.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	10.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	10.4	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	11.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	11.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	12.1	3	3	6 [ 6 0 ]	6 [ 6 0 ]	0 [ 0 0 ]
2.0.39.1	12.2	7	7	14 [ 14 0 ]	12 [ 12 0 ]	2 [ 2 0 ]
2.0.39.1	12.3	3	3	6 [ 6 0 ]	6 [ 6 0 ]	0 [ 0 0 ]
2.0.39.1	13.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	15.1	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	15.2	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	16.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	16.2	3	3	6 [ 6 0 ]	6 [ 6 0 ]	0 [ 0 0 ]
2.0.39.1	16.3	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	16.4	3	3	6 [ 6 0 ]	6 [ 6 0 ]	0 [ 0 0 ]
2.0.39.1	16.5	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	18.1	6	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	18.2	6	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	20.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	20.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	20.3	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	20.4	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	20.5	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	20.6	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	22.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	22.2	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.39.1	22.3	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.39.1	22.4	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	24.1	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	24.2	12	12	24 [ 24 0 ]	24 [ 24 0 ]	0 [ 0 0 ]
2.0.39.1	24.3	12	12	24 [ 24 0 ]	24 [ 24 0 ]	0 [ 0 0 ]
2.0.39.1	24.4	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	25.1	2	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.39.1	25.2	3	3	6 [ 6 0 ]	0 [ 0 0 ]	6 [ 6 0 ]
2.0.39.1	25.3	2	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.39.1	26.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	26.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	27.1	7	3	6 [ 6 0 ]	6 [ 6 0 ]	0 [ 0 0 ]
2.0.39.1	30.1	5	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	30.2	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	30.3	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	30.4	5	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	32.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	32.2	5	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	32.3	6	6	12 [ 12 0 ]	12 [ 12 0 ]	0 [ 0 0 ]
2.0.39.1	32.4	6	6	12 [ 12 0 ]	12 [ 12 0 ]	0 [ 0 0 ]
2.0.39.1	32.5	5	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	32.6	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	33.1	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	33.2	2	2	4 [ 4 0 ]	4 [ 4 0 ]	0 [ 0 0 ]
2.0.39.1	36.1	10	7	14 [ 14 0 ]	12 [ 12 0 ]	2 [ 2 0 ]
2.0.39.1	36.2	19	13	26 [ 26 0 ]	26 [ 26 0 ]	0 [ 0 0 ]
2.0.39.1	36.3	10	7	14 [ 14 0 ]	12 [ 12 0 ]	2 [ 2 0 ]
2.0.39.1	39.1	5	5	10 [ 10 0 ]	4 [ 4 0 ]	6 [ 6 0 ]
2.0.39.1	40.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	40.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.39.1	40.3	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	40.4	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	40.5	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.39.1	40.6	4	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
