# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-51))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 -3 ]
			all	triv	all		old		new
2.0.51.1	1.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	3.1	2	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	4.1	1	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	5.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	5.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	9.1	6	2	4 [ 4 0 ]	0 [ 0 0 ]	4 [ 4 0 ]
2.0.51.1	11.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	11.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	12.1	7	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	13.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	13.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	15.1	5	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	15.2	5	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	16.1	3	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	17.1	1	1	2 [ 2 0 ]	0 [ 0 0 ]	2 [ 2 0 ]
2.0.51.1	19.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	19.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	20.1	2	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	20.2	2	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	23.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	23.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	25.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	25.2	3	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	25.3	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	27.1	10	4	8 [ 8 0 ]	8 [ 8 0 ]	0 [ 0 0 ]
2.0.51.1	29.1	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	29.2	0	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	33.1	5	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	33.2	5	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	36.1	21	7	14 [ 14 0 ]	8 [ 8 0 ]	6 [ 6 0 ]
2.0.51.1	39.1	4	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
2.0.51.1	39.2	4	0	0 [ 0 0 ]	0 [ 0 0 ]	0 [ 0 0 ]
