Table of dimensions of level N homology over Q(sqrt(-7))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
7	2	1.1	 1	0   0		0   0
7	2	2.1	 2	1   0		1   0
7	2	2.2	 2	1   0		1   0
7	2	4.1	 4	2   0		2   0
7	2	4.2	 4	3   0		3   0
7	2	4.3	 4	2   0		2   0
7	2	7.1	 7	1   0		1   0
7	2	8.1	 8	3   0		3   0
7	2	8.2	 8	5   0		5   0
7	2	8.3	 8	5   0		5   0
7	2	8.4	 8	3   0		3   0
7	2	9.1	 9	1   0		1   0
7	2	11.1	 11	1   0		1   0
7	2	11.2	 11	1   0		1   0
7	2	14.1	 14	3   0		3   0
7	2	14.2	 14	3   0		3   0
7	2	16.1	 16	5   0		4   0
7	2	16.2	 16	7   0		7   0
7	2	16.3	 16	8   0		8   0
7	2	16.4	 16	7   0		7   0
7	2	16.5	 16	5   0		4   0
7	2	18.1	 18	3   0		3   0
7	2	18.2	 18	3   0		3   0
7	2	22.1	 22	3   0		3   0
7	2	22.2	 22	3   0		3   0
7	2	22.3	 22	3   0		3   0
7	2	22.4	 22	3   0		3   0
7	2	23.1	 23	1   0		1   0
7	2	23.2	 23	1   0		1   0
7	2	25.1	 25	2   1		1   0
7	2	28.1	 28	5   0		5   0
7	2	28.2	 28	8   1		8   1
7	2	28.3	 28	5   0		5   0
7	2	29.1	 29	1   0		1   0
7	2	29.2	 29	1   0		1   0
7	2	32.1	 32	7   0		5   0
7	2	32.2	 32	11   0		9   0
7	2	32.3	 32	11   0		11   0
7	2	32.4	 32	11   0		11   0
7	2	32.5	 32	11   0		9   0
7	2	32.6	 32	7   0		5   0
7	2	36.1	 36	5   0		5   0
7	2	36.2	 36	8   1		7   0
7	2	36.3	 36	5   0		5   0
7	2	37.1	 37	1   0		1   0
7	2	37.2	 37	1   0		1   0
7	2	43.1	 43	1   0		1   0
7	2	43.2	 43	1   0		1   0
7	2	44.1	 44	5   0		5   0
7	2	44.2	 44	5   0		5   0
7	2	44.3	 44	8   1		8   1
7	2	44.4	 44	8   1		8   1
7	2	44.5	 44	5   0		5   0
7	2	44.6	 44	5   0		5   0
7	2	46.1	 46	3   0		3   0
7	2	46.2	 46	4   1		4   1
7	2	46.3	 46	4   1		4   1
7	2	46.4	 46	3   0		3   0
7	2	49.1	 49	7   0		4   0
7	2	50.1	 50	5   2		3   0
7	2	50.2	 50	5   2		3   0
7	2	53.1	 53	1   0		1   0
7	2	53.2	 53	1   0		1   0
7	2	56.1	 56	7   0		7   0
7	2	56.2	 56	13   2		13   2
7	2	56.3	 56	13   2		13   2
7	2	56.4	 56	7   0		7   0
7	2	58.1	 58	3   0		3   0
7	2	58.2	 58	3   0		3   0
7	2	58.3	 58	3   0		3   0
7	2	58.4	 58	3   0		3   0
7	2	63.1	 63	4   1		4   1
7	2	64.1	 64	11   0		7   0
7	2	64.2	 64	15   0		11   0
7	2	64.3	 64	17   0		14   0
7	2	64.4	 64	16   1		15   0
7	2	64.5	 64	17   0		14   0
7	2	64.6	 64	15   0		11   0
7	2	64.7	 64	11   0		7   0
7	2	67.1	 67	1   0		1   0
7	2	67.2	 67	1   0		1   0
7	2	71.1	 71	1   0		1   0
7	2	71.2	 71	1   0		1   0
7	2	72.1	 72	7   0		7   0
7	2	72.2	 72	13   2		11   0
7	2	72.3	 72	13   2		11   0
7	2	72.4	 72	7   0		7   0
7	2	74.1	 74	3   0		3   0
7	2	74.2	 74	3   0		3   0
7	2	74.3	 74	3   0		3   0
7	2	74.4	 74	3   0		3   0
7	2	77.1	 77	3   0		3   0
7	2	77.2	 77	3   0		3   0
7	2	79.1	 79	2   1		1   0
7	2	79.2	 79	2   1		1   0
7	2	81.1	 81	9   0		5   0
7	2	86.1	 86	4   1		4   1
7	2	86.2	 86	4   1		4   1
7	2	86.3	 86	4   1		4   1
7	2	86.4	 86	4   1		4   1
7	2	88.1	 88	8   1		8   1
7	2	88.2	 88	8   1		8   1
7	2	88.3	 88	13   2		13   2
7	2	88.4	 88	14   3		14   3
7	2	88.5	 88	14   3		14   3
7	2	88.6	 88	13   2		13   2
7	2	88.7	 88	8   1		8   1
7	2	88.8	 88	8   1		8   1
7	2	92.1	 92	5   0		5   0
7	2	92.2	 92	7   2		7   2
7	2	92.3	 92	9   2		9   2
7	2	92.4	 92	9   2		9   2
7	2	92.5	 92	7   2		7   2
7	2	92.6	 92	5   0		5   0
7	2	98.1	 98	15   0		9   0
7	2	98.2	 98	15   0		9   0
7	2	99.1	 99	3   0		3   0
7	2	99.2	 99	3   0		3   0
7	2	100.1	 100	8   3		5   0
7	2	100.2	 100	12   5		7   0
7	2	100.3	 100	8   3		5   0
